source,neighborhood,price,covered_m2,ambientes,bedrooms,url,captured_at,price_per_m2
mercadolibre,Agronomía,90000.0,34.0,1,,https://departamento.mercadolibre.com.ar/MLA-3903406158-increible-monoambiente-con-parrilla-propia-y-mucho-sol-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2647
mercadolibre,Agronomía,69000.0,41.0,2,,https://departamento.mercadolibre.com.ar/MLA-3642762014-departamento-2-amb-en-agronomia-apto-credito-con-renta-hasta-sep26-_JM,2026-09-16 21:47:36.885386+00:00,1683
mercadolibre,Agronomía,140500.0,58.0,3,,https://departamento.mercadolibre.com.ar/MLA-3727524724-edificio-brooklin-3-ambientes-en-agronomia-villa-del-parque-_JM,2026-09-16 21:47:36.885386+00:00,2422
mercadolibre,Agronomía,125000.0,60.0,3,,https://departamento.mercadolibre.com.ar/MLA-2070413831-departamento-en-venta-3-ambientes-en-agronomia-capital-federal-buenos-aires-_JM,2026-09-16 21:47:36.885386+00:00,2083
mercadolibre,Agronomía,130000.0,82.0,4,,https://departamento.mercadolibre.com.ar/MLA-3378177298-departamento-4-ambientes-venta-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1585
mercadolibre,Agronomía,84500.0,35.0,2,,https://departamento.mercadolibre.com.ar/MLA-2027867487-venta-departamento-2-ambientes-con-balcon-estrenar-en-caba-_JM,2026-09-16 21:47:36.885386+00:00,2414
mercadolibre,Agronomía,74500.0,40.0,2,,https://departamento.mercadolibre.com.ar/MLA-3940445544-departamento-2-ambientes-en-agronomia-con-cocina-separada-reciclado-_JM,2026-09-16 21:47:36.885386+00:00,1862
mercadolibre,Agronomía,91500.0,39.0,2,,https://departamento.mercadolibre.com.ar/MLA-3941534612-venta-dos-ambientes-con-balcon-agronomia-apto-cred-_JM,2026-09-16 21:47:36.885386+00:00,2346
mercadolibre,Agronomía,135000.0,67.0,3,,https://departamento.mercadolibre.com.ar/MLA-3950358274-av-san-martin-4400-agronomia-3amb-u135000-_JM,2026-09-16 21:47:36.885386+00:00,2015
mercadolibre,Agronomía,180000.0,60.0,2,,https://departamento.mercadolibre.com.ar/MLA-3765093742-imperdible-depto-2-amb-ccochera-parrilla-patio-amenities-s-moderno-_JM,2026-09-16 21:47:36.885386+00:00,3000
mercadolibre,Agronomía,118000.0,77.0,3,,https://departamento.mercadolibre.com.ar/MLA-3606917970-excelente-tres-ambientes-contrafrente-pulmon-abierto-_JM,2026-09-16 21:47:36.885386+00:00,1532
